10615	4246
10616	769
10616	2107
10616	2109
10616	2110
10616	2161
10616	2166
10616	2167
10616	2178
1726	262
1726	313
1726	317
1726	1074
2529	400
2529	2622
2529	2879
2529	2880
2529	3142
2529	3149
39964	460
39964	926
39964	970
39964	987
39964	1027
39964	1041
39964	1045
39964	2142
39964	2216
39964	2403
39964	2478
39964	2576
39964	2635
39964	2839
39964	2840
39964	4395
39964	4396
47658	4
47658	41
47658	73
47658	162
47658	238
47658	425
47658	429
47658	430
47658	460
47658	480
47658	538
47658	573
47658	601
47658	682
47658	683
47658	724
47658	793
47658	982
47658	995
47658	998
47658	1036
47658	1150
53792	2001
53792	2089
55761	2903
55761	3753
5827	1165
5827	1271
