titles,idx,sentences,distances
homer-iliad_22,id136,"She told her maids to set a large tripod on the fire, so as to have a warm bath ready for Hector when he came out of battle; poor woman, she knew not that he was now beyond the reach of baths, and that Minerva had laid him low by the hands of Achilles.",1.0812801122665405
homer-iliad_22,id34,"What if I were to promise to give up Helen, who was the fountainhead of all this war, and all the treasure that Alexandrus brought with him in his ships to Troy, aye, and to let the Achaeans divide the half of everything that the city contains among themselves?",1.0853161811828613
homer-iliad_22,id70,"Achilles obeyed her gladly, and stood still, leaning on his bronze- pointed ashen spear, while Minerva left him and went after Hector in the form and with the voice of Deiphobus.",1.1017327308654785
homer-iliad_24,id20,"This were well,"" she cried,"" O lord of the silver bow, if you would give like honour to Hector and to Achilles; but Hector was mortal and suckled at a woman 's breast, whereas Achilles is the offspring of a goddess whom I myself reared and brought up.",1.066349983215332
homer-iliad_24,id255,"Thus did she too speak through her tears with bitter moan, and then Helen for a third time took up the strain of lamentation. """,0.9228032827377319
homer-odyssey_01,id24,"So saying she bound on her glittering golden sandals, imperishable, with which she can fly like the wind over land or sea; she grasped the redoubtable bronze- shod spear, so stout and sturdy and strong, wherewith she quells the ranks of heroes who have displeased her, and down she darted from the topmost summits of Olympus, whereon forthwith she was in Ithaca, at the gateway of Ulysses ' house, disguised as a visitor, Mentes, chief of the Taphians, and she held a bronze spear in her hand.",1.0971421003341675
homer-odyssey_04,id100,"On this Helen told the maid servants to set beds in the room that was in the gatehouse, and to make them with good red rugs, and spread coverlets on the top of them with woollen cloaks for the guests to wear.",1.0969743728637695
homer-odyssey_04,id182,"This will happen to you because you have married Helen, and are Jove 's son- in- law.'",1.0635405778884888
homer-odyssey_04,id41,"While he was thus in two minds Helen came down from her high vaulted and perfumed room, looking as lovely as Diana herself.",1.00639009475708
homer-odyssey_04,id45,"Then Helen took her seat, put her feet upon the footstool, and began to question her husband.",0.9125139713287354
homer-odyssey_04,id5,"This son, Megapenthes, was born to him of a bondwoman, for heaven vouchsafed Helen no more children after she had borne Hermione, who was fair as golden Venus herself.",1.0429680347442627
homer-odyssey_04,id63,"Helen wept, Telemachus wept, and so did Menelaus, nor could Pisistratus keep his eyes from filling, when he remembered his dear brother Antilochus whom the son of bright Dawn had killed.",1.072407841682434
homer-odyssey_04,id78,Then Jove 's daughter Helen bethought her of another matter.,1.0466257333755493
homer-odyssey_04,id83,"When Helen had put this drug in the bowl, and had told the servants to serve the wine round, she said: ""Menelaus, son of Atreus, and you my good friends, sons of honourable men( which is as Jove wills, for he is the giver both of good and evil, and can do what he chooses), feast here as you will, and listen while I tell you a tale in season.",1.0843229293823242
homer-odyssey_07,id22,"""Thus she both was, and still is, respected beyond measure by her children, by Alcinous himself, and by the whole people, who look upon her as a goddess, and greet her whenever she goes about the city, for she is a thoroughly good woman both in head and heart, and when any women are friends of hers, she will help their husbands also to settle their disputes.",1.124756097793579
homer-odyssey_11,id125,"See how many of us fell for Helen 's sake, and now it seems that Clytemnestra hatched mischief against you too during your absence.'",0.9809446930885315
homer-odyssey_14,id20,"If my master had grown old here he would have done great things by me, but he is gone, and I wish that Helen 's whole race were utterly destroyed, for she has been the death of many a good man.",0.9528697729110718
homer-odyssey_15,id17,"As he spoke day began to break, and Menelaus, who had already risen, leaving Helen in bed, came towards them.",0.9795709848403931
homer-odyssey_15,id31,"Then Menelaus went down into his fragrant store room not alone, but Helen went too, with Megapenthes.",1.037107229232788
homer-odyssey_15,id33,"Meanwhile Helen went to the chest where she kept the lovely dresses which she had made with her own hands, and took out one that was largest and most beautifully enriched with embroidery; it glittered like a star, and lay at the very bottom of the chest.",1.042415738105774
homer-odyssey_15,id40,Hard by stood lovely Helen with the robe ready in her hand.,1.0656893253326416
homer-odyssey_15,id41,"""I too, my son,"" said she,"" have something for you as a keepsake from the hand of Helen; it is for your bride to wear upon her wedding day.",1.0488210916519165
homer-odyssey_15,id56,"Menelaus was thinking what would be the most proper answer for him to make, but Helen was too quick for him and said,"" I will read this matter as heaven has put it in my heart, and as I doubt not that it will come to pass.",1.09194016456604
homer-odyssey_17,id42,"There I saw Helen, for whose sake so many, both Argives and Trojans, were in heaven 's wisdom doomed to suffer.",0.8945218324661255
homer-odyssey_20,id18,"When she had relieved herself by weeping she prayed to Diana saying,"" Great Goddess Diana, daughter of Jove, drive an arrow into my heart and slay me; or let some whirlwind snatch me up and bear me through paths of darkness till it drop me into the mouths of over- flowing Oceanus, as it did the daughters of Pandareus.",1.1252434253692627
homer-odyssey_22,id75,"Ulysses,"" said she,"" your strength and prowess are no longer what they were when you fought for nine long years among the Trojans about the noble lady Helen.",0.982237696647644
homer-odyssey_23,id82,"Jove 's daughter Helen would never have yielded herself to a man from a foreign country, if she had known that the sons of Achaeans would come after her and bring her back.",1.0789155960083008
